"","Micrarchaeia","Methanobacteria","Methanococci","Methanomicrobia","Woesearchaeia","Nitrososphaeria","uncultured","Acidobacteriia","Aminicenantia","Blastocatellia.Subgroup.4..","Blastocatellia.Subgroup.4.","Holophagae","Subgroup17.","Subgroup17","Subgroup21.","Subgroup22.","Subgroup6.","Subgroup6","Thermoanaerobaculia","c5LKS83","Acidimicrobiia","Actinobacteria","Coriobacteriia","Thermoleophilia","Armatimonadia","Chthonomonadetes","Fimbriimonadia","metagenome","unculturedbacterium.","unculturedorganism.","Bacteroidia","Ignavibacteria","OC31","Rhodothermia","Calditrichia","Chlamydiae","LD1PA32.","LD1PA32","Anaerolineae","Chloroflexia","JG30KF.CM66.","JG30KF.CM66","KD496.","KD496","OLB14","TK10","Cloacimonadia","Melainabacteria","Oxyphotobacteria","Sericytochromatia","Dadabacteriia","Deinococci","Babeliae","Elusimicrobia","Endomicrobia","LineageIIa.","LineageIIa","LineageIIb.","LineageIIc.","Campylobacteria","Desulfurellia","Chitinivibrionia","Fibrobacteria","Bacilli","Clostridia","Erysipelotrichia","Negativicutes","Fusobacteriia","BD211.terrestrial.group.","Gemmatimonadetes","MD2902B12.","Hydrogenedentia","Kiritimatiellae","Latescibacteria","unculturedLatescibacteria.bacterium.","unculturedPelobacter.sp..","unculturedsoil.bacterium.PBS.III.30.","unculturedsoil.bacterium.","Oligosphaeria","Nitrospinia","Nitrospira","Omnitrophia","OmnitrophicaWOR_2.bacterium.RIFOXYA2_FULL_38_17.","mixedculture.isolate.koll11.","uncultureddeep.sea.bacterium.","unculturedplanctomycete.","ABY1","Gracilibacteria","Microgenomatia","Parcubacteria","Saccharimonadia","WWE3","028H05P.BN.P5.","028H05P.BN.P5","BD711.","BD711","Brocadiae","OM190","Phycisphaerae","Pla3lineage.","Pla4lineage.","Pla4lineage","Planctomycetacia","vadinHA49","Alphaproteobacteria","Deltaproteobacteria","Gammaproteobacteria","Brachyspirae","Leptospirae","MVP15","Spirochaetia","V2072189E03.","Synergistia","Mollicutes","Thermotogae","Verrucomicrobiae","hydrothermalvent.metagenome.","unculturedFirmicutes.bacterium."
"2013/9/16",0,0,3,0,447,12,137,22,0,0,0,159,0,0,0,0,0,5,68,0,298,456,4,175,0,0,0,13,134,22,7240,345,5,16,735,34,53,0,2094,164,25,4,2,0,149,0,4,277,6,16,6,3,54,5,0,0,0,0,0,143,0,74,5,61,450,18,17,16,8,6,2,14,44,29,2,0,7,0,0,14,1203,74,0,2,2,2,6,141,15,101,2,6,6,0,48,5,0,151,144,65,28,2,1135,0,4715,1931,21923,0,169,0,76,0,25,0,31,320,35,0
"2013/10/3",0,0,0,0,217,22,102,20,0,0,0,149,0,0,0,0,0,2,37,0,214,280,4,151,0,0,0,12,53,23,5932,365,3,15,557,42,64,0,1387,158,16,0,0,0,127,0,4,169,3,15,7,3,144,4,0,0,0,0,0,63,0,30,5,36,315,12,7,11,13,5,0,11,63,106,0,0,7,0,0,17,1104,57,0,0,0,2,0,40,3,16,12,5,2,2,37,6,0,162,118,32,7,2,866,0,3417,1435,17649,0,169,3,50,0,16,4,15,292,23,0
"2013/10/16",0,2,0,0,315,7,131,17,2,0,0,180,0,0,2,0,0,7,58,0,226,303,0,92,0,0,0,14,118,14,7637,250,2,7,808,41,49,4,1812,111,20,0,3,0,84,0,4,351,3,12,14,6,57,2,0,0,0,0,0,89,0,40,2,38,311,10,2,23,10,3,4,27,64,23,0,0,0,0,2,27,1436,47,0,0,0,0,5,105,4,36,0,5,8,0,51,9,0,212,156,54,15,2,867,0,3881,2109,20213,0,322,0,63,2,22,2,24,310,41,0
"2013/10/31",0,39,0,0,8,0,57,136,0,609,3,382,87,0,0,5,10,294,16,0,33,230,0,76,0,0,37,44,9,4,9848,416,16,5,0,30,0,0,729,94,8,0,6,0,23,0,0,110,0,0,0,6,143,92,0,6,3,34,0,52,3,0,57,32,719,18,23,26,0,111,0,29,18,0,0,6,0,19,0,0,695,7,0,0,0,0,9,124,6,45,45,3,5,0,2,0,0,265,113,0,6,0,634,3,1952,3432,12352,0,712,0,38,17,0,6,0,1120,0,0
"2013/11/14",0,2,0,0,140,761,112,31,0,12,0,111,0,0,0,0,0,25,129,0,160,323,0,214,0,0,25,17,81,36,7819,661,580,28,877,121,0,0,544,213,16,2,2,0,242,0,0,148,5,2,90,3,71,0,0,0,0,0,0,92,0,99,4,74,301,15,3,6,42,81,0,27,37,381,13,0,24,0,3,172,553,44,0,0,0,2,7,46,0,40,10,2,4,5,60,2,0,529,209,46,16,15,771,3,3666,2312,11301,0,334,0,28,0,9,0,13,197,12,0
"2013/11/28",0,0,2,0,238,19,184,26,0,5,0,164,0,0,0,0,2,21,89,0,299,417,10,197,0,0,6,12,122,32,8184,818,10,33,1049,86,16,0,1591,204,17,2,3,0,204,0,2,254,13,30,22,11,299,0,0,0,0,0,0,107,0,40,16,65,492,26,26,18,18,34,0,18,95,251,0,0,7,0,3,30,1456,64,0,2,2,5,2,46,7,4,12,4,4,4,51,9,0,228,168,45,12,1,1272,0,4550,2217,18864,0,230,3,44,0,35,4,8,405,43,0
"2013/12/18",0,2,0,0,55,282,268,26,0,8,0,232,0,0,0,0,0,21,80,0,280,506,2,203,0,0,40,4,79,15,9736,891,156,13,1032,45,5,0,632,261,20,11,0,0,123,4,2,214,5,9,74,6,28,0,0,0,0,0,0,254,0,62,19,88,504,20,15,26,19,59,0,14,80,215,16,0,17,0,0,189,894,47,0,0,0,2,14,109,6,9,12,2,5,3,43,6,0,455,151,32,11,6,1155,0,4935,2804,16037,0,357,0,14,0,13,0,0,356,19,0
"2013/12/31",0,2,0,0,142,12,78,16,0,0,0,83,0,0,0,0,2,9,46,0,177,306,5,108,0,0,2,15,49,10,4558,270,7,16,464,23,41,0,768,99,19,2,0,0,80,0,0,119,2,12,6,4,73,0,0,0,0,0,0,33,0,23,5,21,185,6,12,5,7,7,0,3,42,101,0,0,4,0,0,11,687,35,0,0,0,0,2,29,0,0,0,0,2,0,31,4,0,143,111,33,3,0,763,0,2160,1000,13953,0,109,0,34,0,18,0,6,190,15,0
"2014/1/16",0,4,0,2,66,56,155,10,0,2,0,80,0,0,0,0,0,23,26,0,447,848,3,149,0,0,10,3,61,4,7375,408,28,15,867,20,0,0,594,80,42,4,0,0,72,0,0,55,0,0,27,3,13,3,0,0,0,0,0,193,0,28,21,23,225,10,0,24,12,33,0,6,84,96,12,0,5,0,0,112,470,38,0,0,0,0,11,84,3,12,8,0,14,0,52,8,0,354,111,5,5,3,614,0,4078,2137,9969,0,125,0,2,0,5,0,4,279,11,0
"2014/1/27",0,59,0,0,84,0,137,218,12,873,5,1067,182,9,0,27,18,271,71,3,120,291,3,70,7,3,76,79,44,4,11297,398,106,6,0,31,0,0,1412,111,5,0,9,3,21,2,0,237,0,18,0,4,269,153,2,6,10,75,2,94,2,0,77,95,681,17,27,56,0,175,0,56,31,0,0,5,0,26,0,0,1159,23,0,0,0,0,7,91,11,50,64,0,28,0,2,0,0,252,237,0,12,0,1366,3,2386,4791,13147,0,794,0,135,30,4,25,0,1395,0,2
"2014/2/18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,7,0,218,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,5,0,0,0,0,20,0,139,28,338,0,0,0,0,0,0,0,0,0,0,0
"2014/3/4",0,5,5,0,243,21,127,21,0,3,0,112,0,0,0,0,0,4,52,0,221,326,5,151,0,0,0,15,97,20,6437,452,4,30,634,34,78,0,1510,194,20,0,0,0,147,0,0,193,8,27,15,5,140,2,0,0,0,0,0,56,0,43,7,33,327,16,18,2,13,9,0,10,48,156,0,0,4,0,3,28,1065,72,0,0,2,3,2,56,8,10,8,0,2,3,38,11,0,191,150,35,4,0,1348,0,3584,1569,18661,0,158,0,69,2,20,5,13,315,32,0
"2014/3/18",0,0,0,0,0,2,2,0,0,0,0,3,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,4,0,319,2,0,0,279,0,0,0,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,21,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,21,0,147,39,369,0,0,0,0,0,0,0,0,3,0,0
"2014/4/1",0,51,0,0,5,0,44,152,0,1050,4,429,116,4,0,2,6,326,46,0,81,312,0,140,0,0,56,57,4,5,12444,464,33,8,0,40,0,0,682,133,0,0,0,0,32,0,0,138,0,12,6,7,65,94,4,2,0,17,0,178,2,0,202,74,945,11,33,41,0,97,0,33,19,0,0,8,0,22,0,0,817,7,0,0,0,0,4,148,14,61,113,0,8,0,2,0,0,273,182,0,9,0,774,5,2541,4249,15500,5,959,0,162,75,6,10,0,1280,0,0
"2014/4/15",0,0,0,0,422,20,164,28,0,0,0,260,0,0,0,0,0,9,78,0,202,412,6,175,0,0,0,20,117,27,8578,491,8,26,959,40,83,0,1955,169,16,0,0,0,147,0,0,336,17,84,21,0,97,3,0,0,0,0,0,142,0,54,7,55,492,18,14,24,13,14,0,20,54,61,0,0,8,0,0,16,1523,91,0,0,3,0,0,120,11,122,5,8,0,2,70,13,0,206,169,59,22,0,1269,0,5079,2174,24744,0,265,0,121,0,54,2,14,415,35,0
"2014/4/29",0,4,3,0,365,35,200,21,2,0,0,257,0,0,0,0,0,9,78,0,256,376,11,215,0,0,0,16,179,40,9554,602,15,33,1041,46,121,2,2477,205,17,0,3,0,220,0,0,314,10,90,12,11,198,0,0,0,0,0,0,119,0,62,0,55,474,12,14,12,12,15,0,22,80,83,8,0,9,0,0,24,2056,110,0,0,4,0,0,102,6,369,8,9,3,3,72,23,3,201,117,64,24,11,1474,0,5330,2426,27954,0,258,2,74,0,38,3,16,497,53,0
"2014/5/16",0,0,0,0,203,18,86,22,0,0,0,122,0,0,0,0,2,14,52,0,231,361,5,159,0,0,0,12,89,13,4844,373,9,15,595,26,47,0,1390,156,9,0,2,0,100,0,2,199,17,29,10,8,90,3,0,0,0,0,0,66,0,28,3,39,280,17,11,7,13,16,0,12,48,150,0,0,8,0,0,20,846,42,0,0,2,0,0,44,7,0,11,0,0,0,43,7,0,204,119,39,6,0,925,0,3060,1443,15725,0,188,0,78,0,27,2,5,302,32,0
"2014/6/3",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,11,20,0,7,0,0,0,0,8,0,328,2,0,0,315,0,0,0,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,2,0,22,0,178,47,528,0,0,0,0,0,0,0,0,3,0,0
"2014/6/18",0,0,0,0,3,2,2,0,0,0,0,3,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,2,0,134,0,0,0,162,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,2,0,5,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,78,16,158,0,0,0,0,0,0,0,0,0,2,0
"2014/6/30",0,2,0,0,0,0,3,7,0,8,0,4,0,0,0,2,0,6,0,0,2,0,0,0,0,0,0,0,0,0,388,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,11,0,17,0,4,0,0,0,0,0,0,0,0,6,0,2,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,23,0,35,16,137,0,0,0,2,0,0,0,0,12,0,0
"2014/7/16",0,0,0,0,64,334,100,9,0,5,0,58,0,0,0,0,0,10,99,0,95,188,0,114,0,0,32,2,50,11,5288,345,256,21,642,116,0,0,291,96,11,4,0,0,81,0,0,58,0,2,41,0,76,0,0,0,0,0,0,117,0,40,2,69,261,12,7,9,27,49,0,15,22,152,3,0,35,0,0,76,177,49,2,0,0,2,6,66,0,18,5,0,2,0,33,0,0,213,120,39,14,2,504,0,2137,1571,6698,0,220,0,12,0,0,0,0,195,9,0
"2014/7/28",0,3,0,0,119,130,365,22,0,4,0,158,0,0,0,0,0,32,54,0,636,966,12,276,0,0,42,11,165,23,14521,808,112,21,1916,114,0,0,1242,234,33,6,0,0,103,0,0,163,0,3,45,18,41,2,0,0,0,0,0,381,0,106,10,74,457,26,12,18,25,65,0,22,181,268,28,0,14,0,0,262,789,104,2,0,0,0,52,171,6,20,51,4,13,2,137,14,0,877,318,25,15,3,1220,0,6538,4514,23635,0,477,0,16,0,18,0,5,627,10,0
"2014/8/18",0,12,3,0,249,24,100,16,0,0,0,169,0,0,0,0,0,9,50,0,213,324,5,163,0,0,0,10,111,18,7547,477,7,14,731,29,96,0,1521,189,10,0,0,0,217,3,4,163,5,46,12,4,156,2,0,0,0,0,0,68,0,42,6,37,368,10,18,17,8,12,0,16,41,98,3,0,7,0,2,28,1643,69,0,0,0,0,0,68,4,91,8,0,7,5,47,1,0,165,136,31,5,0,1227,0,3910,1765,24118,0,182,0,51,0,30,3,13,280,32,0
"2014/9/5",0,0,0,0,45,101,141,7,0,4,0,91,0,0,0,0,0,16,31,0,269,521,7,174,0,0,20,2,65,9,6793,340,58,7,846,41,0,0,683,127,13,3,0,0,64,0,0,96,0,0,27,5,13,0,0,0,0,0,0,173,0,42,4,30,280,12,5,9,6,29,0,4,64,120,8,0,5,0,0,110,444,39,0,0,0,2,11,65,2,13,24,0,4,0,56,19,0,408,129,11,2,0,709,0,2857,1967,10349,0,195,0,5,0,4,3,0,275,9,0
