"","Solibacterales","Blastocatellales","uncultured","Microtrichales","Propionibacteriales","Streptomycetales","Streptosporangiales","Coriobacteriales","Fimbriimonadales","Bacteroidales","Chitinophagales","Cytophagales","Flavobacteriales","Sphingobacteriales","Chlorobiales","Ignavibacteriales","OPB56","SJA28.","SJA28","Caldisericales","Anaerolineales","Ardenticatenales","SBR1031","Chloroflexales","Thermomicrobiales","Cloacimonadales","Obscuribacterales","Chloroplast","Nostocales","Campylobacterales","Fibrobacterales","Bacillales","Lactobacillales","Clostridiales","Erysipelotrichales","Fusobacteriales","Gemmatimonadales","CandidatusKomeilibacteria.","CandidatusPeregrinibacteria.","CandidatusPeribacteria.","CandidatusPeribacteria","JGI0000069.P22","CandidatusCurtissbacteria.","CandidatusRoizmanbacteria.","CandidatusNomurabacteria","CandidatusZambryskibacteria.","Saccharimonadales","Phycisphaerales","Tepidisphaerales","Gemmatales","Isosphaerales","Pirellulales","Planctomycetales","Acetobacterales","AlphaproteobacteriaIncertae.Sedis.","Azospirillales","Caulobacterales","Holosporales","Micavibrionales","Puniceispirillales","Rhizobiales","Rhodobacterales","Sphingomonadales","Tistrellales","Betaproteobacteriales","Pseudomonadales","Leptospirales","Spirochaetales","Synergistales","Kosmotogales","Petrotogales","Thermotogales","Verrucomicrobiales"
"2006-02-04",0,0,3315,0,8,0,0,0,0,8,36,4,15,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4,0,0,0,101,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,4,0,0,0,142,167,109,0,53,0,0,0,0,0,0,0,0
"2006-05-06",0,0,3921,0,9,0,0,0,0,11,47,26,25,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,4,0,108,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,8,2,0,0,7,0,0,0,148,277,191,0,48,0,0,0,0,0,0,0,0
"2006-10-28",0,0,7019,0,20,0,0,0,0,11,133,3,143,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,3,0,0,4,60,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,35,0,0,0,208,0,0,0,906,626,318,0,412,0,0,0,0,0,0,0,2
"2007-02-04",2,0,34164,0,12,2,0,13,0,0,176,43,33,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,2,547,29,0,0,0,0,0,0,0,0,0,0,0,233,2,0,0,2,0,55,9,0,0,34,0,0,0,3149,4143,1099,0,1633,0,0,0,0,0,0,0,6
"2007-05-06",0,0,3420,0,8,0,0,0,0,13,30,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,2,0,10,0,34,0,0,2,0,0,0,3,0,0,0,0,0,12,0,0,0,0,0,2,2,0,0,0,0,0,0,131,107,103,0,120,0,0,0,0,0,0,0,0
"2007-10-28",19,0,47494,0,27,0,0,11,0,261,595,166,1049,18,0,0,36,0,0,0,2,3,0,0,7,0,39,0,0,643,2,8,1,532,47,0,15,0,0,0,0,0,0,0,0,0,36,3,0,0,0,0,266,59,0,0,91,0,0,0,2495,1979,2163,0,3127,62,98,0,0,0,0,0,13
"2008-02-04",48,0,32090,0,92,0,0,4,10,17,459,77,21,7,0,0,13,0,0,0,4,0,2,15,0,0,79,0,0,47,0,0,2,267,9,0,27,0,0,0,0,0,0,0,0,0,511,8,2,0,33,0,112,9,0,0,67,0,0,0,1240,1058,501,0,2784,2,19,2,0,0,0,0,10
"2008-05-06",0,0,83731,0,11,0,3,0,0,0,0,0,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,8,44,33,0,0,0,0,0,0,0,22153,10145,30,0,5,0,0,0,0,0,0,0,0
"2008-08-19",0,0,51001,0,4,3,2,3,2,4,582,159,255,0,0,0,0,0,0,0,0,15,4,95,0,0,29,13,2,3,2,25,91,291,29,0,18,0,0,0,0,0,0,0,0,0,42,10,0,77,3,0,101,6,0,0,155,0,0,0,2179,1623,804,0,1706,0,4,0,0,0,0,0,0
"2008-10-28",3,0,27441,0,23,72,0,10,2,7,381,81,124,0,0,0,3,0,0,0,0,10,8,5,0,0,4,0,2,39,0,0,6,626,46,0,0,0,0,0,0,0,4,0,0,0,400,0,0,35,23,12,195,6,0,0,71,0,0,0,4202,1491,961,0,1130,2,0,0,0,0,0,0,0
"2009-02-04",11,0,45554,0,81,4,3,15,4,136,935,18,768,0,0,0,18,0,0,0,6,0,0,0,0,0,38,7,3,481,0,4,12,1055,65,0,21,3,2,0,4,0,0,0,0,0,6,3,0,10,7,0,222,12,0,0,178,0,0,0,3023,2145,1110,0,3729,109,0,0,0,0,0,0,2
"2009-05-06",168,0,38408,0,48,0,0,0,0,0,728,15,5,0,0,5,10,0,0,0,4,0,17,101,0,0,0,0,6,2,0,2,1,696,6,0,11,0,0,0,5,0,0,0,0,0,250,16,12,67,57,2,60,7,0,0,248,2,0,0,3276,1299,1232,0,1619,0,0,0,0,0,0,0,11
"2009-08-19",12,0,52685,0,650,2,0,18,0,15,535,34,604,0,0,0,0,0,0,0,3,155,2,17,0,0,26,5,0,578,0,6,1,1010,56,0,30,0,0,0,0,0,2,0,0,0,85,10,0,9,30,0,240,4,0,0,66,0,0,0,3559,2013,1784,0,3740,27,2,0,0,0,0,0,2
"2009-10-28",38,0,49812,0,63,0,0,4,0,26,494,78,41,0,0,0,0,0,0,0,0,3,0,2,0,0,0,2,7,37,0,6,8,530,16,0,12,0,0,0,0,0,0,0,0,0,260,5,0,24,12,2,260,2,0,0,61,0,0,0,2626,1624,1349,0,879,2,2,0,0,0,0,0,0
"2010-02-04",0,0,14320,0,35,91,8,6,0,19,380,102,145,0,0,6,2,0,0,0,0,14,0,33,0,0,15,4,0,14,0,0,8,169,19,0,4,0,0,0,3,0,2,0,0,0,12,0,0,13,8,10,98,7,0,0,30,0,0,0,1596,2120,387,4,728,0,0,0,0,0,0,0,0
"2010-05-06",13,0,37822,0,59,3,0,4,0,123,516,16,428,2,0,0,12,0,0,0,4,0,0,0,0,0,123,0,3,222,0,7,8,465,32,0,4,2,0,10,0,0,3,2,0,0,8,2,2,16,2,0,111,18,0,0,116,0,0,0,1410,873,1090,0,3020,10,5,2,0,0,0,0,2
"2010-08-19",0,0,14585,0,17,0,0,4,0,21,101,16,9,3,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,223,10,0,3,0,0,0,0,0,0,0,0,0,18,3,0,2,0,0,13,2,0,0,34,0,0,0,1472,1517,316,0,442,0,0,0,0,0,0,0,2
"2010-10-28",0,0,18459,0,35,0,0,4,0,9,633,52,67,5,0,0,18,0,0,0,0,0,0,0,0,0,2,5,0,23,0,1,0,252,13,0,9,0,0,0,0,0,0,0,0,0,50,0,0,4,22,0,30,5,0,0,194,0,0,0,1572,2206,783,0,1041,0,0,0,0,0,0,0,0
"2011-02-04",21,0,19182,0,69,0,0,0,7,11,411,46,8,4,0,0,13,0,0,0,0,0,0,10,0,0,67,0,2,102,0,0,2,139,7,0,13,0,0,0,0,0,0,0,0,0,140,2,0,0,17,0,52,4,0,0,79,0,0,0,896,1219,383,0,1180,2,9,0,0,0,0,0,7
"2011-05-06",0,0,4772,0,4,0,0,0,0,2,28,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,10,0,0,4,94,2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2,0,0,0,6,0,0,0,535,214,175,0,38,0,0,0,0,0,0,0,0
"2011-08-19",37,0,29254,0,44,0,0,4,3,34,440,17,0,21,0,0,3,0,0,0,0,0,0,4,0,0,21,5,0,40,2,11,9,333,14,0,15,0,10,0,29,0,0,0,0,0,149,4,0,3,31,0,118,15,0,0,35,0,0,0,1136,871,418,0,1234,5,8,0,0,4,0,0,2
"2012-02-04",0,0,21122,0,18,0,0,3,0,2,627,85,138,0,0,0,5,0,0,0,0,0,5,30,0,0,14,2,0,8,0,14,8,212,6,0,11,0,0,0,0,0,0,0,0,0,349,0,0,9,27,0,55,0,0,0,140,0,0,0,1473,1527,603,0,1016,0,0,0,0,0,0,0,0
"2012-05-06",2,0,12566,0,38,0,0,2,0,0,285,2,11,0,0,0,0,0,0,0,0,0,8,11,0,0,0,2,0,0,0,0,7,309,6,0,43,0,0,0,0,0,0,0,0,0,0,2,0,28,10,0,34,5,0,0,45,0,0,0,990,724,553,0,707,0,0,0,0,0,0,0,0
"2012-08-19",0,0,6229,0,212,0,0,0,0,2,121,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,10,0,0,30,0,0,0,81,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,12,2,0,0,4,0,0,0,372,226,124,0,83,0,0,0,0,0,0,0,0
"2012-10-28",7,0,71819,0,92,432,3,11,0,144,3284,914,946,0,0,0,42,0,0,0,11,13,0,48,4,0,36,30,15,54,0,0,18,778,24,0,36,0,2,0,0,0,0,0,0,0,571,12,0,130,22,0,489,40,2,3,434,0,0,0,6899,5783,3818,0,2579,3,0,0,0,0,0,0,2
"2013-02-04",0,0,3308,0,16,0,0,0,0,0,9,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,53,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,2,0,0,20,0,0,0,275,182,224,0,68,0,0,0,0,0,0,0,0
"2013-05-06",0,29,48797,0,2,0,0,0,0,11,0,10,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,12,3,1169,5,0,0,0,0,0,0,0,0,0,0,0,8,12,0,0,2,0,187,387,0,0,14,0,0,0,15179,1068,649,0,56,0,0,0,0,0,0,0,0
"2013-08-19",0,0,14544,0,9,0,0,0,3,9,71,3,2,0,0,0,2,2,0,0,0,2,0,10,0,0,3,0,0,2,0,2,3,69,2,0,0,0,0,0,2,0,0,0,0,0,59,0,0,0,2,0,32,0,0,0,37,0,0,0,779,270,298,0,164,0,2,0,0,0,0,0,0
"2013-10-28",2,0,36467,0,42,2,0,5,0,131,622,109,382,14,0,0,19,0,0,0,0,4,0,0,30,0,2,2,2,143,0,0,7,512,44,0,44,0,0,0,0,0,0,0,0,0,32,2,0,0,3,0,337,9,0,0,69,0,0,0,1835,3145,1714,0,3059,11,0,0,0,0,0,0,7
